Cluster,Income,Spending,Seniority,Wines,Fruits,Meat,Fish,Sweets,Gold
Cluster 0,55474.47663551402,1012.4392523364486,146.41121495327104,455.9252336448598,40.467289719626166,347.0841121495327,58.21495327102804,46.242990654205606,64.50467289719626
Cluster 1,50708.07541899441,358.50418994413405,144.6338919925512,205.04608938547486,12.946927374301676,71.47346368715084,18.393854748603353,13.21368715083799,37.43016759776536
Cluster 2,72943.54385964913,1268.1174089068827,145.71880341880342,631.0188933873144,56.825910931174086,366.2483130904184,81.07962213225372,57.62887989203779,75.3157894736842
Cluster 3,28908.334869431645,62.245775729646695,144.86333845366104,19.80337941628264,4.121351766513057,15.886328725038403,6.018433179723503,4.274961597542243,12.141321044546851
