Cluster,Cluster_Size,avg(Seniority),avg(Spending),avg(Fish),avg(Fruits),avg(Sweets),avg(Meat),avg(Gold),avg(Age),avg(Wines),avg(Income)
0,898,144.65408314773546,149.35968819599108,11.35857461024499,7.678173719376392,7.295100222717149,36.31403118040089,22.714922048997774,48.711581291759465,63.998886414253896,33944.094654788416
1,616,142.62505411255418,445.82305194805195,24.967532467532468,17.649350649350648,18.751623376623378,102.21915584415585,38.701298701298704,68.02922077922078,243.5340909090909,53006.23376623377
2,7,144.5809523809524,747.8571428571429,3.7142857142857144,3.142857142857143,1.2857142857142858,708.1428571428571,2.5714285714285716,53.142857142857146,29.0,158024.2857142857
3,691,146.3667149059334,1344.8480463096962,83.4630969609262,58.54124457308249,60.37047756874095,389.19826338639655,76.5672937771346,55.05354558610709,676.7076700434153,73361.91316931983
